ticket_no,flight_id,boarding_no,seat_no
5432001721,51794,59,2F
5432001721,188094,10,5A
5432001867,52853,47,14C
5432001867,188189,53,3D
5432002603,89881,29,17F
5432003385,89978,37,3C
5432003386,89978,18,2A
5432004797,189385,46,15F
5432004990,189089,70,18A
5432006530,189609,6,2F
5432010628,52030,67,15A
5432011467,52243,76,7A
5432011468,52243,77,8F
5432011588,51457,79,2D
5432012383,52152,13,23B
5432012384,52152,89,11E
5432013554,52552,70,26E
5432013729,51968,25,27D
5432013730,51968,17,25E
5432013866,52166,29,5F
5432014149,51410,85,2C
5432014150,51410,101,15C
5432014151,51410,66,20D
5432014152,51410,50,25F
5432014492,51368,64,31F
5432014920,52042,17,6C
5432017858,51370,81,9E
5432018053,52532,16,31D
5432018054,52532,73,11B
5432018055,52532,80,8B
5432018711,52505,15,5A
5432019259,51386,110,26B
5432019260,51386,97,22B
5432019484,51377,21,19E
5432019485,51377,11,22A
5432019744,51426,16,17C
5432019782,52819,52,28B
5432019984,51869,55,22B
5432019985,51869,54,3F
5432020087,52253,47,10E
5432020529,52821,79,20A
5432020530,52821,40,28E
5432025022,54543,55,12E
5432025588,54557,23,9D
5432025589,54557,76,23A
5432026146,54167,30,10C
5432027487,55836,24,16F
5432027931,55815,142,21C
5432028192,54849,133,5D
5432028340,55684,132,31F
5432029136,54807,70,11B
5432031074,55935,31,14C
5432031265,54323,5,1C
5432031708,54369,112,21F
5432031709,54369,80,19D
5432031710,54369,46,15E
5432034156,56061,99,22C
5432035034,55067,142,2C
5432035035,55067,26,15D
5432038585,53529,63,21A
5432038586,53529,59,9B
5432040090,53778,114,11D
5432040091,53778,39,29A
5432040570,54090,103,17D
5432040571,54090,47,10E
5432040943,53229,45,13A
5432042403,53286,43,4A
5432042667,54079,82,8B
5432043547,13902,12,13D
5432043547,52219,5,20F
5432043616,14070,75,15H
5432043616,52302,109,24E
5432043966,13794,86,24D
5432043966,52852,113,16D
5432044888,3031,36,30E
5432044888,51617,90,22B
5432044889,3031,58,17H
5432044889,51617,70,27A
5432045426,2919,50,1G
5432045426,51592,22,21B
5432046574,34762,267,15A
5432046574,54668,151,26C
5432046884,34686,192,36A
5432046884,55332,40,2A
5432047280,34679,283,46D
5432047280,55062,94,12D
5432048300,169746,118,33G
5432052014,136447,26,22C
5432052400,136487,41,18B
5432055056,130418,52,10D
5432055537,130403,61,5B
5432057129,131501,39,14D
5432057129,174444,29,6E
5432057130,131501,10,12E
5432057130,174444,27,9F
5432057350,131649,28,9C
5432057350,174433,35,12C
5432057351,131649,25,8E
5432057351,174433,66,18F
5432057352,131649,34,2F
5432057352,174433,87,7A
5432059501,94449,107,49D
5432059501,131112,31,11C
5432059502,94449,141,45J
5432059502,131112,7,12D
5432059503,94449,11,26F
5432059503,131112,67,9C
5432060397,41435,25,22D
5432060398,41435,64,4D
5432061013,41366,100,4E
5432064746,50290,93,42A
5432065604,50459,45,23C
5432065988,50071,55,40G
5432066864,50337,188,35J
5432069010,50212,214,48G
5432072330,47779,83,16F
