book_ref,book_date,total_amount
1.00E+72,10/08/17 15:18,19600
2562,08/08/16 5:05,40400
002BCF,15/08/16 20:08,58200
0036ED,25/12/16 5:43,123000
003E4C,11/02/17 12:25,44800
4619,09/08/17 18:18,96800
4901,23/06/17 10:37,30300
0068A1,15/12/16 4:44,501200
006D57,17/02/17 10:10,109800
0077CA,23/11/16 6:21,18000
0080CD,23/12/16 7:30,163400
0089B5,13/10/16 18:37,70700
9133,12/12/16 17:14,117700
009E4D,29/06/17 22:14,117600
00BBA8,03/02/17 0:18,149800
00C8D2,14/01/17 22:21,43600
10415,20/05/17 18:29,26800
013C3C,02/03/17 6:06,6700
0157B7,13/01/17 8:18,46400
017D9A,31/05/17 10:13,398500
0180D3,13/08/17 0:26,43200
0182F1,13/11/16 13:35,64700
018A71,07/07/17 6:44,28800
19818,02/03/17 22:54,38600
01AECD,13/08/16 10:47,92800
01B689,11/03/17 12:46,25100
01BDA7,01/07/17 2:00,23100
01D04D,19/04/17 9:25,124800
01D58E,25/05/17 16:29,46000
01E833,28/08/16 9:01,119000
01F61B,17/12/16 21:31,26000
01FC5A,15/06/17 8:42,123600
23402,26/08/16 19:08,115000
24429,17/09/16 9:05,15100
24883,27/06/17 23:27,135200
02A1AE,02/02/17 21:54,57800
02DB75,05/03/17 2:34,46300
02F482,14/05/17 15:10,82900
032A96,16/11/16 8:39,84100
032CE9,20/11/16 20:29,27700
03411C,16/04/17 16:11,38400
36565,05/09/16 5:43,97600
38328,02/09/16 5:01,156300
38521,31/07/17 4:23,17000
039D59,30/04/17 17:25,52900
03B1DF,09/06/17 11:58,24400
03B690,24/05/17 14:41,31600
03BCD7,13/01/17 9:24,55800
03BF7E,28/10/16 14:51,62000
03C68C,01/07/17 4:48,172100
03CB5D,07/04/17 11:19,52700
03EF37,10/08/16 14:59,139500
03F365,28/04/17 19:43,81700
03FC92,03/08/17 1:50,46400
40525,06/01/17 6:10,75100
0413B6,28/11/16 1:08,62600
0418C5,07/10/16 6:03,31600
4.23E+07,18/12/16 8:06,14800
45237,12/11/16 13:24,173600
04548E,18/12/16 4:59,63200
4.61E+06,15/05/17 10:34,141600
046A94,13/04/17 5:47,10700
047DB8,26/03/17 21:51,25000
48167,18/10/16 6:37,171800
48946,03/09/16 16:54,28800
048B1D,21/07/17 4:30,50700
0490C7,23/01/17 14:44,38600
049FA5,04/08/17 16:29,111600
