aircraft_code,seat_no,fare_conditions
319,2A,Business
319,2C,Business
319,2D,Business
319,2F,Business
319,3A,Business
319,3C,Business
319,3D,Business
319,3F,Business
319,4A,Business
319,4C,Business
319,4D,Business
319,4F,Business
319,5A,Business
319,5C,Business
319,5D,Business
319,5F,Business
319,6A,Economy
319,6B,Economy
319,6C,Economy
319,6D,Economy
319,6E,Economy
319,6F,Economy
319,7A,Economy
319,7B,Economy
319,7C,Economy
319,7D,Economy
319,7E,Economy
319,7F,Economy
319,8A,Economy
319,8B,Economy
319,8C,Economy
319,8D,Economy
319,8F,Economy
319,9A,Economy
319,9B,Economy
319,9C,Economy
319,9D,Economy
319,9E,Economy
319,9F,Economy
319,10A,Economy
319,10B,Economy
319,10C,Economy
319,10D,Economy
319,10E,Economy
319,10F,Economy
319,11A,Economy
319,11B,Economy
319,17D,Economy
319,17E,Economy
319,17F,Economy
319,18A,Economy
319,18B,Economy
319,18C,Economy
319,18D,Economy
319,18E,Economy
319,18F,Economy
319,19A,Economy
319,19B,Economy
319,19C,Economy
319,19D,Economy
319,20E,Economy
319,20F,Economy
319,21A,Economy
319,21B,Economy
319,21C,Economy
319,21D,Economy
319,21E,Economy
319,21F,Economy
320,1A,Business
320,1C,Business
320,1D,Business
320,1F,Business
320,2A,Business
320,2C,Business
320,2D,Business
319,8E,Economy
320,2F,Business
320,3A,Business
320,3C,Business
320,3D,Business
320,3F,Business
320,4A,Business
320,4C,Business
320,4D,Business
320,4F,Business
320,5A,Business
320,5C,Business
320,5D,Business
320,5F,Business
320,6A,Economy
320,6B,Economy
320,6C,Economy
320,6D,Economy
320,6E,Economy
320,6F,Economy
320,7A,Economy
320,7B,Economy
320,7C,Economy
320,7D,Economy
320,7E,Economy
320,7F,Economy
320,8A,Economy
320,8B,Economy
320,8C,Economy
320,8D,Economy
320,8E,Economy
320,8F,Economy
320,9A,Economy
320,9B,Economy
320,9C,Economy
320,9D,Economy
320,9E,Economy
320,9F,Economy
320,10A,Economy
320,10B,Economy
320,10C,Economy
320,10D,Economy
320,10E,Economy
320,10F,Economy
320,11A,Economy
320,11B,Economy
320,11C,Economy
320,11D,Economy
320,11E,Economy
320,11F,Economy
320,12A,Economy
320,12B,Economy
320,12C,Economy
320,12D,Economy
320,12E,Economy
320,12F,Economy
320,13A,Economy
320,13B,Economy
320,13C,Economy
320,13D,Economy
320,13E,Economy
320,13F,Economy
320,14A,Economy
320,14B,Economy
320,14C,Economy
320,14D,Economy
320,14E,Economy
320,14F,Economy
320,15A,Economy
320,15B,Economy
319,1A,Business
319,1C,Business
319,1D,Business
319,1F,Business
319,11C,Economy
319,11D,Economy
319,11E,Economy
319,11F,Economy
319,12A,Economy
319,12B,Economy
319,12C,Economy
319,12D,Economy
319,12E,Economy
319,12F,Economy
319,13A,Economy
319,13B,Economy
319,13C,Economy
319,13D,Economy
319,13E,Economy
319,13F,Economy
319,14A,Economy
319,14B,Economy
319,14C,Economy
319,14D,Economy
319,14E,Economy
319,14F,Economy
319,15A,Economy
319,15B,Economy
319,15C,Economy
319,15D,Economy
319,15E,Economy
319,15F,Economy
319,16A,Economy
319,16B,Economy
319,16C,Economy
319,16D,Economy
319,16E,Economy
319,16F,Economy
319,17A,Economy
319,17B,Economy
319,17C,Economy
319,19E,Economy
319,19F,Economy
319,20A,Economy
319,20B,Economy
319,20C,Economy
319,20D,Economy
320,15C,Economy
320,15D,Economy
320,15E,Economy
320,15F,Economy
320,16A,Economy
320,16B,Economy
320,16C,Economy
320,16D,Economy
320,16E,Economy
320,16F,Economy
320,17A,Economy
320,17B,Economy
320,17C,Economy
320,17D,Economy
320,17E,Economy
320,17F,Economy
320,18A,Economy
320,18B,Economy
320,18C,Economy
320,18D,Economy
320,18E,Economy
320,18F,Economy
320,19A,Economy
320,19B,Economy
320,19C,Economy
320,19D,Economy
320,19E,Economy
320,19F,Economy
320,20A,Economy
320,20B,Economy
320,20C,Economy
320,20D,Economy
320,20E,Economy
320,20F,Economy
320,21A,Economy
320,21B,Economy
320,21C,Economy
320,21D,Economy
320,21E,Economy
320,21F,Economy
320,22A,Economy
320,22B,Economy
320,22C,Economy
320,22D,Economy
320,22E,Economy
320,22F,Economy
320,23A,Economy
320,23B,Economy
320,23C,Economy
320,23D,Economy
320,23E,Economy
320,23F,Economy
320,24A,Economy
320,24B,Economy
320,24C,Economy
320,24D,Economy
320,24E,Economy
320,24F,Economy
320,25A,Economy
320,25B,Economy
320,25C,Economy
320,25D,Economy
320,25E,Economy
320,25F,Economy
321,1A,Business
321,1C,Business
321,1D,Business
321,1F,Business
321,2A,Business
321,2C,Business
321,2D,Business
321,2F,Business
321,3A,Business
321,3C,Business
321,3D,Business
321,3F,Business
321,4A,Business
321,4C,Business
321,4D,Business
321,4F,Business
321,5A,Business
321,5C,Business
321,5D,Business
321,5F,Business
321,6A,Business
321,6C,Business
321,6D,Business
321,6F,Business
321,7A,Business
321,7C,Business
321,7D,Business
321,7F,Business
321,8A,Economy
321,8B,Economy
321,8C,Economy
321,8D,Economy
321,8E,Economy
321,8F,Economy
321,9A,Economy
321,9B,Economy
321,9C,Economy
321,9D,Economy
321,9E,Economy
321,9F,Economy
321,10A,Economy
321,10B,Economy
321,10C,Economy
321,10D,Economy
321,10E,Economy
321,10F,Economy
321,11A,Economy
321,11B,Economy
321,11C,Economy
321,11D,Economy
321,11E,Economy
321,11F,Economy
321,12A,Economy
321,12B,Economy
321,12C,Economy
321,12D,Economy
321,12E,Economy
321,12F,Economy
321,13A,Economy
321,13B,Economy
321,13C,Economy
321,13D,Economy
321,13E,Economy
321,13F,Economy
321,14A,Economy
321,14B,Economy
321,14C,Economy
321,14D,Economy
321,14E,Economy
321,14F,Economy
321,15A,Economy
321,15B,Economy
321,15C,Economy
321,15D,Economy
321,15E,Economy
321,15F,Economy
321,16A,Economy
321,16B,Economy
321,16C,Economy
321,16D,Economy
321,16E,Economy
321,16F,Economy
321,17A,Economy
321,17B,Economy
321,17C,Economy
321,17D,Economy
321,17E,Economy
321,17F,Economy
321,18A,Economy
321,18B,Economy
321,18C,Economy
321,18D,Economy
321,18E,Economy
321,18F,Economy
321,19B,Economy
321,19C,Economy
321,19D,Economy
321,19E,Economy
321,20A,Economy
321,20B,Economy
321,20C,Economy
321,20D,Economy
321,20E,Economy
321,20F,Economy
321,21A,Economy
321,21B,Economy
321,21C,Economy
321,21D,Economy
321,21E,Economy
321,21F,Economy
321,22A,Economy
321,22B,Economy
321,22C,Economy
321,22D,Economy
321,22E,Economy
321,22F,Economy
321,23A,Economy
321,23B,Economy
321,23C,Economy
321,23D,Economy
321,23E,Economy
321,23F,Economy
321,24A,Economy
321,24B,Economy
321,24C,Economy
321,24D,Economy
321,24E,Economy
321,24F,Economy
321,25A,Economy
321,25B,Economy
321,25C,Economy
321,25D,Economy
321,25E,Economy
321,25F,Economy
321,26A,Economy
321,26B,Economy
321,26C,Economy
321,26D,Economy
321,26E,Economy
321,26F,Economy
321,27A,Economy
321,27B,Economy
321,27C,Economy
321,27D,Economy
321,27E,Economy
321,27F,Economy
321,28A,Economy
321,28B,Economy
321,28C,Economy
321,28D,Economy
321,28E,Economy
321,28F,Economy
321,29A,Economy
321,29B,Economy
321,29C,Economy
321,29D,Economy
321,29E,Economy
321,29F,Economy
321,30A,Economy
321,30B,Economy
321,30C,Economy
321,30D,Economy
321,30E,Economy
321,30F,Economy
321,31A,Economy
321,31B,Economy
321,31C,Economy
321,31D,Economy
321,31E,Economy
321,31F,Economy
733,1A,Business
733,1C,Business
733,1D,Business
733,1F,Business
733,2A,Business
733,2C,Business
733,2D,Business
733,2F,Business
733,3A,Business
733,3C,Business
733,3D,Business
733,3F,Business
733,4A,Economy
733,4B,Economy
733,4C,Economy
733,4D,Economy
733,4E,Economy
733,4F,Economy
733,5A,Economy
733,5B,Economy
733,5C,Economy
733,5D,Economy
733,5E,Economy
733,5F,Economy
733,6A,Economy
733,6B,Economy
733,6C,Economy
733,6D,Economy
733,6E,Economy
733,6F,Economy
733,7A,Economy
733,7B,Economy
733,7C,Economy
733,7D,Economy
733,7E,Economy
733,7F,Economy
733,8A,Economy
733,8B,Economy
733,8C,Economy
733,8D,Economy
733,8E,Economy
733,8F,Economy
733,9A,Economy
733,9B,Economy
733,9C,Economy
733,9D,Economy
733,9E,Economy
733,9F,Economy
733,10B,Economy
733,10C,Economy
733,10D,Economy
733,10E,Economy
733,11A,Economy
733,11B,Economy
733,11C,Economy
733,11D,Economy
733,11E,Economy
733,11F,Economy
733,12A,Economy
733,12B,Economy
733,12C,Economy
733,12D,Economy
733,12E,Economy
733,12F,Economy
733,13A,Economy
733,13B,Economy
733,13C,Economy
733,13D,Economy
733,13E,Economy
733,13F,Economy
733,14A,Economy
733,14B,Economy
733,14C,Economy
733,14D,Economy
