ticket_no,flight_id,fare_conditions,amount
5432001721,51794,Business,20000
5432001721,188094,Economy,10900
5432001867,52853,Economy,6700
5432001867,188189,Business,32600
5432002603,89881,Economy,33300
5432003385,89978,Business,99800
5432003386,89978,Business,99800
5432004797,189385,Economy,11000
5432004990,189089,Economy,11000
5432006530,189609,Business,32000
5432010628,52030,Economy,6700
5432011467,52243,Business,20000
5432011468,52243,Economy,7300
5432011588,51457,Business,20000
5432012383,52152,Economy,6700
5432012384,52152,Economy,6700
5432013554,52552,Economy,6700
5432013729,51968,Economy,6700
5432013730,51968,Economy,6700
5432013866,52166,Business,20000
5432014149,51410,Business,20000
5432014150,51410,Economy,6700
5432014151,51410,Economy,6700
5432014152,51410,Economy,6700
5432014492,51368,Economy,6700
5432014920,52042,Business,20000
5432017858,51370,Economy,6700
5432018053,52532,Economy,6700
5432018054,52532,Economy,6700
5432018055,52532,Economy,7300
5432018711,52505,Business,20000
5432019259,51386,Economy,6700
5432019260,51386,Economy,6700
5432019484,51377,Economy,7300
5432019485,51377,Economy,6700
5432019744,51426,Economy,6700
5432019782,52819,Economy,6700
5432019984,51869,Economy,6700
5432019985,51869,Business,20000
5432020087,52253,Economy,6700
5432020529,52821,Economy,7300
5432020530,52821,Economy,6700
5432020664,52489,Economy,6700
5432025022,54543,Economy,6000
5432025588,54557,Economy,6000
5432025589,54557,Economy,6000
5432026146,54167,Economy,6000
5432027487,55836,Economy,6000
5432027931,55815,Economy,6000
5432028192,54849,Business,18000
5432028340,55684,Economy,6000
5432029136,54807,Economy,6000
5432031074,55935,Economy,6000
5432031265,54323,Business,18000
5432031708,54369,Economy,6000
5432031709,54369,Economy,6600
5432031710,54369,Economy,6000
5432034156,56061,Economy,6000
5432035034,55067,Business,18000
5432035035,55067,Economy,6000
5432035534,55963,Economy,6000
5432038585,53529,Economy,6300
5432038586,53529,Economy,6300
5432040090,53778,Economy,6300
5432040091,53778,Economy,6300
5432040570,54090,Economy,6300
5432040571,54090,Economy,6300
5432040943,53229,Economy,6300
5432042403,53286,Business,18800
5432042667,54079,Economy,6900
5432043547,13902,Economy,11600
5432043547,52219,Economy,7300
5432043616,14070,Economy,11600
5432043616,52302,Economy,6700
5432043966,13794,Economy,11600
5432043966,52852,Economy,6700
